# Region Report
# Assembly name:  GRCz11
# Description:    Genome Reference Consortium Zebrafish Build 11
# Organism name:  Danio rerio (zebrafish)
# Infraspecific name:  strain=Tuebingen
# Taxid:          7955
# BioSample:      SAMN06930106
# BioProject:     PRJNA11776
# Submitter:      Genome Reference Consortium
# Date:           2017-05-09
# Synonyms:       danRer11	
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000002035.4
# RefSeq assembly accession: GCF_000002035.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000175.4	GCF_000000175.5	Primary Assembly
## GCA_002119155.1	GCF_002119155.1	ALT_DRER_TU_1
## GCA_002119165.1	GCF_002119165.1	ALT_DRER_TU_2
## GCA_002119175.1	GCF_002119175.1	ALT_DRER_TU_3
## GCA_002119185.1	GCF_002119185.1	ALT_DRER_TU_4
## 	GCF_000002055.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
region134	13	629126	903814	alt-scaffold	KZ115397.1	NW_018394860.1	ALT_DRER_TU_1
region135	13	3039093	3293857	alt-scaffold	KZ115398.1	NW_018394861.1	ALT_DRER_TU_1
region136	13	5192406	5505439	alt-scaffold	KZ115399.1	NW_018394862.1	ALT_DRER_TU_1
region137	13	7983814	8913006	alt-scaffold	KZ115400.1	NW_018394863.1	ALT_DRER_TU_1
region137	13	7983814	8913006	alt-scaffold	KZ115401.1	NW_018394864.1	ALT_DRER_TU_1
region137	13	7983814	8913006	alt-scaffold	KZ114930.1	NW_018395305.1	ALT_DRER_TU_2
region137	13	7983814	8913006	alt-scaffold	KZ114931.1	NW_018395306.1	ALT_DRER_TU_2
region140	13	8986003	9916480	alt-scaffold	KZ115402.1	NW_018394865.1	ALT_DRER_TU_1
region140	13	8986003	9916480	alt-scaffold	KZ115403.1	NW_018394866.1	ALT_DRER_TU_1
region140	13	8986003	9916480	alt-scaffold	KZ115404.1	NW_018394867.1	ALT_DRER_TU_1
region141	13	10127762	10679598	alt-scaffold	KZ115405.1	NW_018394868.1	ALT_DRER_TU_1
region142	13	10871669	11184634	alt-scaffold	KZ115406.1	NW_018394869.1	ALT_DRER_TU_1
region143	13	12560935	12751252	alt-scaffold	KZ115407.1	NW_018394870.1	ALT_DRER_TU_1
region144	13	12774592	13240109	alt-scaffold	KZ115408.1	NW_018394871.1	ALT_DRER_TU_1
region144	13	12774592	13240109	alt-scaffold	KZ114932.1	NW_018395307.1	ALT_DRER_TU_2
region145	13	13457524	14255917	alt-scaffold	KZ115409.1	NW_018394872.1	ALT_DRER_TU_1
region145	13	13457524	14255917	alt-scaffold	KZ115410.1	NW_018394873.1	ALT_DRER_TU_1
region145	13	13457524	14255917	alt-scaffold	KZ114933.1	NW_018395308.1	ALT_DRER_TU_2
region146	13	14388072	14755615	alt-scaffold	KZ115411.1	NW_018394874.1	ALT_DRER_TU_1
region149	13	18036258	19055356	alt-scaffold	KZ115412.1	NW_018394875.1	ALT_DRER_TU_1
region149	13	18036258	19055356	alt-scaffold	KZ115413.1	NW_018394876.1	ALT_DRER_TU_1
region149	13	18036258	19055356	alt-scaffold	KZ115414.1	NW_018394877.1	ALT_DRER_TU_1
region150	13	19658218	19878728	alt-scaffold	KZ115415.1	NW_018394878.1	ALT_DRER_TU_1
region151	13	19996216	20384464	alt-scaffold	KZ115416.1	NW_018394879.1	ALT_DRER_TU_1
region152	13	20702971	20947457	alt-scaffold	KZ115417.1	NW_018394880.1	ALT_DRER_TU_1
region153	13	21272126	21652747	alt-scaffold	KZ115418.1	NW_018394881.1	ALT_DRER_TU_1
region156	13	21816835	23204482	alt-scaffold	KZ115419.1	NW_018394882.1	ALT_DRER_TU_1
region156	13	21816835	23204482	alt-scaffold	KZ115420.1	NW_018394883.1	ALT_DRER_TU_1
region156	13	21816835	23204482	alt-scaffold	KZ115421.1	NW_018394884.1	ALT_DRER_TU_1
region156	13	21816835	23204482	alt-scaffold	KZ114934.1	NW_018395309.1	ALT_DRER_TU_2
region157	13	37906058	38306785	alt-scaffold	KZ115422.1	NW_018394885.1	ALT_DRER_TU_1
region158	13	38910577	39176205	alt-scaffold	KZ115423.1	NW_018394886.1	ALT_DRER_TU_1
region159	13	40307385	40445456	alt-scaffold	KZ115424.1	NW_018394887.1	ALT_DRER_TU_1
region160	13	41822345	42038009	alt-scaffold	KZ115425.1	NW_018394888.1	ALT_DRER_TU_1
region161	13	45772678	46087774	alt-scaffold	KZ115426.1	NW_018394889.1	ALT_DRER_TU_1
region161	13	45772678	46087774	alt-scaffold	KZ114935.1	NW_018395310.1	ALT_DRER_TU_2
region162	13	49804767	50086171	alt-scaffold	KZ115427.1	NW_018394890.1	ALT_DRER_TU_1
region163	14	8371300	8625268	alt-scaffold	KZ115428.1	NW_018394891.1	ALT_DRER_TU_1
region165	14	8640426	9559973	alt-scaffold	KZ115429.1	NW_018394892.1	ALT_DRER_TU_1
region165	14	8640426	9559973	alt-scaffold	KZ115430.1	NW_018394893.1	ALT_DRER_TU_1
region165	14	8640426	9559973	alt-scaffold	KZ114936.1	NW_018395311.1	ALT_DRER_TU_2
region166	14	9737810	10040859	alt-scaffold	KZ115431.1	NW_018394894.1	ALT_DRER_TU_1
region167	14	10421126	10845304	alt-scaffold	KZ115432.1	NW_018394895.1	ALT_DRER_TU_1
region167	14	10421126	10845304	alt-scaffold	KZ114937.1	NW_018395312.1	ALT_DRER_TU_2
region168	14	11873387	12291313	alt-scaffold	KZ115433.1	NW_018394896.1	ALT_DRER_TU_1
region169	14	12454190	12974856	alt-scaffold	KZ115434.1	NW_018394897.1	ALT_DRER_TU_1
region170	14	17508758	18057334	alt-scaffold	KZ115435.1	NW_018394898.1	ALT_DRER_TU_1
region170	14	17508758	18057334	alt-scaffold	KZ114938.1	NW_018395313.1	ALT_DRER_TU_2
region171	14	18063552	18309718	alt-scaffold	KZ115436.1	NW_018394899.1	ALT_DRER_TU_1
region172	14	18591165	19047078	alt-scaffold	KZ115437.1	NW_018394900.1	ALT_DRER_TU_1
region173	14	19379390	19577353	alt-scaffold	KZ115438.1	NW_018394901.1	ALT_DRER_TU_1
region174	14	19650198	20089807	alt-scaffold	KZ115439.1	NW_018394902.1	ALT_DRER_TU_1
region175	14	21157263	21650914	alt-scaffold	KZ115440.1	NW_018394903.1	ALT_DRER_TU_1
region176	14	21795004	22159309	alt-scaffold	KZ115441.1	NW_018394904.1	ALT_DRER_TU_1
region177	14	22685851	23050189	alt-scaffold	KZ115442.1	NW_018394905.1	ALT_DRER_TU_1
region179	14	23197163	24021590	alt-scaffold	KZ115443.1	NW_018394906.1	ALT_DRER_TU_1
region179	14	23197163	24021590	alt-scaffold	KZ115444.1	NW_018394907.1	ALT_DRER_TU_1
region179	14	23197163	24021590	alt-scaffold	KZ115445.1	NW_018394908.1	ALT_DRER_TU_1
region179	14	23197163	24021590	alt-scaffold	KZ114939.1	NW_018395314.1	ALT_DRER_TU_2
region180	14	24030913	24951468	alt-scaffold	KZ115446.1	NW_018394909.1	ALT_DRER_TU_1
region180	14	24030913	24951468	alt-scaffold	KZ114940.1	NW_018395315.1	ALT_DRER_TU_2
region181	14	27476466	28095674	alt-scaffold	KZ115447.1	NW_018394910.1	ALT_DRER_TU_1
region182	14	28453811	28737911	alt-scaffold	KZ115448.1	NW_018394911.1	ALT_DRER_TU_1
region183	14	29011478	29335781	alt-scaffold	KZ115449.1	NW_018394912.1	ALT_DRER_TU_1
region184	14	29642990	30009253	alt-scaffold	KZ115450.1	NW_018394913.1	ALT_DRER_TU_1
region185	14	30068650	30488872	alt-scaffold	KZ115451.1	NW_018394914.1	ALT_DRER_TU_1
region186	14	31443897	31761658	alt-scaffold	KZ115452.1	NW_018394915.1	ALT_DRER_TU_1
region187	14	32378463	32709707	alt-scaffold	KZ115453.1	NW_018394916.1	ALT_DRER_TU_1
region188	14	33027059	33440541	alt-scaffold	KZ115454.1	NW_018394917.1	ALT_DRER_TU_1
region189	14	33822111	34316452	alt-scaffold	KZ115455.1	NW_018394918.1	ALT_DRER_TU_1
region189	14	33822111	34316452	alt-scaffold	KZ114941.1	NW_018395316.1	ALT_DRER_TU_2
region189	14	33822111	34316452	alt-scaffold	KZ115760.1	NW_018395386.1	ALT_DRER_TU_3
region189	14	33822111	34316452	alt-scaffold	KZ115763.1	NW_018395389.1	ALT_DRER_TU_4
region190	14	34497136	34793428	alt-scaffold	KZ115456.1	NW_018394919.1	ALT_DRER_TU_1
region190	14	34497136	34793428	alt-scaffold	KZ114942.1	NW_018395317.1	ALT_DRER_TU_2
region191	14	35463551	35795546	alt-scaffold	KZ115457.1	NW_018394920.1	ALT_DRER_TU_1
region191	14	35463551	35795546	alt-scaffold	KZ114943.1	NW_018395318.1	ALT_DRER_TU_2
region193	14	36249407	36812333	alt-scaffold	KZ115458.1	NW_018394921.1	ALT_DRER_TU_1
region193	14	36249407	36812333	alt-scaffold	KZ115459.1	NW_018394922.1	ALT_DRER_TU_1
region194	14	37319069	37621420	alt-scaffold	KZ115460.1	NW_018394923.1	ALT_DRER_TU_1
region197	14	38364757	39400575	alt-scaffold	KZ115461.1	NW_018394924.1	ALT_DRER_TU_1
region197	14	38364757	39400575	alt-scaffold	KZ115462.1	NW_018394925.1	ALT_DRER_TU_1
region197	14	38364757	39400575	alt-scaffold	KZ115463.1	NW_018394926.1	ALT_DRER_TU_1
region198	14	39896042	40388950	alt-scaffold	KZ115464.1	NW_018394927.1	ALT_DRER_TU_1
region198	14	39896042	40388950	alt-scaffold	KZ114944.1	NW_018395319.1	ALT_DRER_TU_2
region199	14	41542280	41866602	alt-scaffold	KZ115465.1	NW_018394928.1	ALT_DRER_TU_1
region200	14	41997294	42291348	alt-scaffold	KZ115466.1	NW_018394929.1	ALT_DRER_TU_1
region201	14	43371744	43691663	alt-scaffold	KZ115467.1	NW_018394930.1	ALT_DRER_TU_1
region202	14	43973996	44152368	alt-scaffold	KZ115468.1	NW_018394931.1	ALT_DRER_TU_1
region203	15	5696849	5947813	alt-scaffold	KZ115469.1	NW_018394932.1	ALT_DRER_TU_1
region204	15	6913552	7100944	alt-scaffold	KZ115470.1	NW_018394933.1	ALT_DRER_TU_1
region205	15	10580295	11111669	alt-scaffold	KZ115471.1	NW_018394934.1	ALT_DRER_TU_1
region205	15	10580295	11111669	alt-scaffold	KZ114945.1	NW_018395320.1	ALT_DRER_TU_2
region206	15	13682903	13895472	alt-scaffold	KZ115472.1	NW_018394935.1	ALT_DRER_TU_1
region207	15	13994781	14147699	alt-scaffold	KZ115473.1	NW_018394936.1	ALT_DRER_TU_1
region209	15	14171893	14594427	alt-scaffold	KZ115474.1	NW_018394937.1	ALT_DRER_TU_1
region209	15	14171893	14594427	alt-scaffold	KZ115475.1	NW_018394938.1	ALT_DRER_TU_1
region210	15	15132845	15357682	alt-scaffold	KZ115476.1	NW_018394939.1	ALT_DRER_TU_1
region213	15	15429037	16268051	alt-scaffold	KZ115478.1	NW_018394941.1	ALT_DRER_TU_1
region213	15	15429037	16268051	alt-scaffold	KZ115479.1	NW_018394942.1	ALT_DRER_TU_1
region213	15	15429037	16268051	alt-scaffold	KZ115477.1	NW_018394940.1	ALT_DRER_TU_1
region214	15	16878974	17260409	alt-scaffold	KZ115480.1	NW_018394943.1	ALT_DRER_TU_1
region214	15	16878974	17260409	alt-scaffold	KZ114946.1	NW_018395321.1	ALT_DRER_TU_2
region215	15	17393802	17813675	alt-scaffold	KZ115481.1	NW_018394944.1	ALT_DRER_TU_1
region216	15	19084978	19547008	alt-scaffold	KZ115482.1	NW_018394945.1	ALT_DRER_TU_1
region217	15	20126898	20670531	alt-scaffold	KZ115483.1	NW_018394946.1	ALT_DRER_TU_1
region217	15	20126898	20670531	alt-scaffold	KZ114947.1	NW_018395322.1	ALT_DRER_TU_2
region218	15	24250810	25174341	alt-scaffold	KZ115484.1	NW_018394947.1	ALT_DRER_TU_1
region218	15	24250810	25174341	alt-scaffold	KZ114948.1	NW_018395323.1	ALT_DRER_TU_2
region220	15	27067429	27695000	alt-scaffold	KZ115485.1	NW_018394948.1	ALT_DRER_TU_1
region220	15	27067429	27695000	alt-scaffold	KZ115486.1	NW_018394949.1	ALT_DRER_TU_1
region221	16	4352299	4652343	alt-scaffold	KZ115487.1	NW_018394950.1	ALT_DRER_TU_1
region222	16	6312075	6667770	alt-scaffold	KZ115488.1	NW_018394951.1	ALT_DRER_TU_1
region223	16	6825906	7000284	alt-scaffold	KZ115489.1	NW_018394952.1	ALT_DRER_TU_1
region224	16	9353781	9538932	alt-scaffold	KZ115490.1	NW_018394953.1	ALT_DRER_TU_1
region227	16	11528409	12410941	alt-scaffold	KZ115491.1	NW_018394954.1	ALT_DRER_TU_1
region227	16	11528409	12410941	alt-scaffold	KZ115492.1	NW_018394955.1	ALT_DRER_TU_1
region227	16	11528409	12410941	alt-scaffold	KZ115493.1	NW_018394956.1	ALT_DRER_TU_1
region227	16	11528409	12410941	alt-scaffold	KZ114949.1	NW_018395324.1	ALT_DRER_TU_2
region228	16	13448954	13936480	alt-scaffold	KZ115494.1	NW_018394957.1	ALT_DRER_TU_1
region229	16	16348176	16623466	alt-scaffold	KZ115495.1	NW_018394958.1	ALT_DRER_TU_1
region229	16	16348176	16623466	alt-scaffold	KZ114950.1	NW_018395325.1	ALT_DRER_TU_2
region230	16	18373057	18619023	alt-scaffold	KZ115496.1	NW_018394959.1	ALT_DRER_TU_1
region231	16	21619258	21849100	alt-scaffold	KZ115497.1	NW_018394960.1	ALT_DRER_TU_1
region232	16	22235597	22578505	alt-scaffold	KZ115498.1	NW_018394961.1	ALT_DRER_TU_1
region233	16	31112154	31484278	alt-scaffold	KZ115499.1	NW_018394962.1	ALT_DRER_TU_1
region234	16	31735209	31924289	alt-scaffold	KZ115500.1	NW_018394963.1	ALT_DRER_TU_1
region235	16	32345420	32686888	alt-scaffold	KZ115501.1	NW_018394964.1	ALT_DRER_TU_1
region236	16	32982646	33809808	alt-scaffold	KZ115502.1	NW_018394965.1	ALT_DRER_TU_1
region236	16	32982646	33809808	alt-scaffold	KZ114951.1	NW_018395326.1	ALT_DRER_TU_2
region237	16	35333360	35638959	alt-scaffold	KZ115503.1	NW_018394966.1	ALT_DRER_TU_1
region238	16	36909994	37315489	alt-scaffold	KZ115504.1	NW_018394967.1	ALT_DRER_TU_1
region239	16	37722613	37998227	alt-scaffold	KZ115505.1	NW_018394968.1	ALT_DRER_TU_1
region241	16	38026036	38785563	alt-scaffold	KZ115506.1	NW_018394969.1	ALT_DRER_TU_1
region241	16	38026036	38785563	alt-scaffold	KZ115507.1	NW_018394970.1	ALT_DRER_TU_1
region242	16	41742309	41902657	alt-scaffold	KZ115508.1	NW_018394971.1	ALT_DRER_TU_1
region243	16	53378065	53590307	alt-scaffold	KZ115509.1	NW_018394972.1	ALT_DRER_TU_1
region244	17	5518558	5807317	alt-scaffold	KZ115510.1	NW_018394973.1	ALT_DRER_TU_1
region245	17	6377074	6685388	alt-scaffold	KZ115511.1	NW_018394974.1	ALT_DRER_TU_1
region246	17	6866961	7074851	alt-scaffold	KZ115512.1	NW_018394975.1	ALT_DRER_TU_1
region247	17	7330425	7587062	alt-scaffold	KZ115513.1	NW_018394976.1	ALT_DRER_TU_1
region248	17	8732535	9036115	alt-scaffold	KZ115514.1	NW_018394977.1	ALT_DRER_TU_1
region249	17	14020145	14319358	alt-scaffold	KZ115515.1	NW_018394978.1	ALT_DRER_TU_1
region250	17	18949252	19467017	alt-scaffold	KZ115516.1	NW_018394979.1	ALT_DRER_TU_1
region250	17	18949252	19467017	alt-scaffold	KZ114952.1	NW_018395327.1	ALT_DRER_TU_2
region255	17	19712479	21173618	alt-scaffold	KZ115519.1	NW_018394982.1	ALT_DRER_TU_1
region255	17	19712479	21173618	alt-scaffold	KZ115520.1	NW_018394983.1	ALT_DRER_TU_1
region255	17	19712479	21173618	alt-scaffold	KZ115521.1	NW_018394984.1	ALT_DRER_TU_1
region255	17	19712479	21173618	alt-scaffold	KZ115517.1	NW_018394980.1	ALT_DRER_TU_1
region255	17	19712479	21173618	alt-scaffold	KZ115518.1	NW_018394981.1	ALT_DRER_TU_1
region256	17	21327173	21624106	alt-scaffold	KZ115522.1	NW_018394985.1	ALT_DRER_TU_1
region258	17	21752467	23901862	alt-scaffold	KZ115523.1	NW_018394986.1	ALT_DRER_TU_1
region258	17	21752467	23901862	alt-scaffold	KZ115524.1	NW_018394987.1	ALT_DRER_TU_1
region258	17	21752467	23901862	alt-scaffold	KZ115525.1	NW_018394988.1	ALT_DRER_TU_1
region258	17	21752467	23901862	alt-scaffold	KZ115526.1	NW_018394989.1	ALT_DRER_TU_1
region258	17	21752467	23901862	alt-scaffold	KZ114953.1	NW_018395328.1	ALT_DRER_TU_2
region258	17	21752467	23901862	alt-scaffold	KZ114954.1	NW_018395329.1	ALT_DRER_TU_2
region258	17	21752467	23901862	alt-scaffold	KZ114955.1	NW_018395330.1	ALT_DRER_TU_2
region258	17	21752467	23901862	alt-scaffold	KZ114956.1	NW_018395331.1	ALT_DRER_TU_2
region259	17	24443797	24731391	alt-scaffold	KZ115527.1	NW_018394990.1	ALT_DRER_TU_1
region260	17	25072603	25399521	alt-scaffold	KZ115528.1	NW_018394991.1	ALT_DRER_TU_1
region262	17	25849608	26591653	alt-scaffold	KZ115529.1	NW_018394992.1	ALT_DRER_TU_1
region262	17	25849608	26591653	alt-scaffold	KZ115530.1	NW_018394993.1	ALT_DRER_TU_1
region262	17	25849608	26591653	alt-scaffold	KZ114957.1	NW_018395332.1	ALT_DRER_TU_2
region263	17	26763353	27058924	alt-scaffold	KZ115531.1	NW_018394994.1	ALT_DRER_TU_1
region264	17	28117390	28671604	alt-scaffold	KZ115532.1	NW_018394995.1	ALT_DRER_TU_1
region265	17	30379187	30645598	alt-scaffold	KZ115533.1	NW_018394996.1	ALT_DRER_TU_1
region266	17	31213210	31630707	alt-scaffold	KZ115534.1	NW_018394997.1	ALT_DRER_TU_1
region267	17	44592333	44975487	alt-scaffold	KZ115535.1	NW_018394998.1	ALT_DRER_TU_1
region268	17	48579020	48781113	alt-scaffold	KZ115536.1	NW_018394999.1	ALT_DRER_TU_1
region269	17	52389273	52652722	alt-scaffold	KZ115537.1	NW_018395000.1	ALT_DRER_TU_1
region270	18	4908382	5212476	alt-scaffold	KZ115538.1	NW_018395001.1	ALT_DRER_TU_1
region271	18	6115819	6316470	alt-scaffold	KZ115539.1	NW_018395002.1	ALT_DRER_TU_1
region272	18	7356037	7902297	alt-scaffold	KZ115540.1	NW_018395003.1	ALT_DRER_TU_1
region272	18	7356037	7902297	alt-scaffold	KZ114958.1	NW_018395333.1	ALT_DRER_TU_2
region273	18	8372128	8553721	alt-scaffold	KZ115541.1	NW_018395004.1	ALT_DRER_TU_1
region274	18	8741425	9130837	alt-scaffold	KZ115542.1	NW_018395005.1	ALT_DRER_TU_1
region274	18	8741425	9130837	alt-scaffold	KZ114959.1	NW_018395334.1	ALT_DRER_TU_2
region275	18	9257571	9588731	alt-scaffold	KZ115543.1	NW_018395006.1	ALT_DRER_TU_1
region277	18	10829495	11350644	alt-scaffold	KZ115544.1	NW_018395007.1	ALT_DRER_TU_1
region277	18	10829495	11350644	alt-scaffold	KZ115545.1	NW_018395008.1	ALT_DRER_TU_1
region279	18	11831607	12764714	alt-scaffold	KZ115547.1	NW_018395010.1	ALT_DRER_TU_1
region279	18	11831607	12764714	alt-scaffold	KZ115546.1	NW_018395009.1	ALT_DRER_TU_1
region279	18	11831607	12764714	alt-scaffold	KZ114960.1	NW_018395335.1	ALT_DRER_TU_2
region280	18	12957980	13204524	alt-scaffold	KZ115548.1	NW_018395011.1	ALT_DRER_TU_1
region282	18	13353752	13735700	alt-scaffold	KZ115549.1	NW_018395012.1	ALT_DRER_TU_1
region282	18	13353752	13735700	alt-scaffold	KZ115550.1	NW_018395013.1	ALT_DRER_TU_1
region283	18	13776356	14327393	alt-scaffold	KZ115551.1	NW_018395014.1	ALT_DRER_TU_1
region284	18	15152686	15843395	alt-scaffold	KZ115552.1	NW_018395015.1	ALT_DRER_TU_1
region284	18	15152686	15843395	alt-scaffold	KZ114961.1	NW_018395336.1	ALT_DRER_TU_2
region285	18	16098786	16314082	alt-scaffold	KZ115553.1	NW_018395016.1	ALT_DRER_TU_1
region285	18	16098786	16314082	alt-scaffold	KZ114962.1	NW_018395337.1	ALT_DRER_TU_2
region287	18	16322543	17570021	alt-scaffold	KZ115554.1	NW_018395017.1	ALT_DRER_TU_1
region287	18	16322543	17570021	alt-scaffold	KZ115555.1	NW_018395018.1	ALT_DRER_TU_1
region287	18	16322543	17570021	alt-scaffold	KZ114963.1	NW_018395338.1	ALT_DRER_TU_2
region288	18	17744498	18108904	alt-scaffold	KZ115556.1	NW_018395019.1	ALT_DRER_TU_1
region289	18	18627864	19403032	alt-scaffold	KZ115557.1	NW_018395020.1	ALT_DRER_TU_1
region290	18	19810014	20365864	alt-scaffold	KZ115558.1	NW_018395021.1	ALT_DRER_TU_1
region290	18	19810014	20365864	alt-scaffold	KZ114964.1	NW_018395339.1	ALT_DRER_TU_2
region292	18	20406456	21386249	alt-scaffold	KZ115559.1	NW_018395022.1	ALT_DRER_TU_1
region292	18	20406456	21386249	alt-scaffold	KZ115560.1	NW_018395023.1	ALT_DRER_TU_1
region292	18	20406456	21386249	alt-scaffold	KZ114965.1	NW_018395340.1	ALT_DRER_TU_2
region293	18	21492587	22147508	alt-scaffold	KZ115561.1	NW_018395024.1	ALT_DRER_TU_1
region293	18	21492587	22147508	alt-scaffold	KZ114966.1	NW_018395341.1	ALT_DRER_TU_2
region294	18	22150126	22501198	alt-scaffold	KZ115562.1	NW_018395025.1	ALT_DRER_TU_1
region295	18	22796187	23038435	alt-scaffold	KZ115563.1	NW_018395026.1	ALT_DRER_TU_1
region296	18	24337722	24745732	alt-scaffold	KZ115564.1	NW_018395027.1	ALT_DRER_TU_1
region297	18	25251626	25557883	alt-scaffold	KZ115565.1	NW_018395028.1	ALT_DRER_TU_1
region298	18	26482005	27119479	alt-scaffold	KZ115566.1	NW_018395029.1	ALT_DRER_TU_1
region298	18	26482005	27119479	alt-scaffold	KZ115567.1	NW_018395030.1	ALT_DRER_TU_1
region298	18	26482005	27119479	alt-scaffold	KZ114967.1	NW_018395342.1	ALT_DRER_TU_2
region299	18	29419008	29836059	alt-scaffold	KZ115568.1	NW_018395031.1	ALT_DRER_TU_1
region301	18	31946846	32535920	alt-scaffold	KZ115569.1	NW_018395032.1	ALT_DRER_TU_1
region301	18	31946846	32535920	alt-scaffold	KZ115570.1	NW_018395033.1	ALT_DRER_TU_1
region302	18	33185223	33382372	alt-scaffold	KZ115571.1	NW_018395034.1	ALT_DRER_TU_1
region303	18	33821827	34080494	alt-scaffold	KZ115572.1	NW_018395035.1	ALT_DRER_TU_1
region304	18	34404655	34918425	alt-scaffold	KZ115573.1	NW_018395036.1	ALT_DRER_TU_1
region306	18	35902315	36354395	alt-scaffold	KZ115574.1	NW_018395037.1	ALT_DRER_TU_1
region306	18	35902315	36354395	alt-scaffold	KZ115575.1	NW_018395038.1	ALT_DRER_TU_1
region307	18	36514469	36711485	alt-scaffold	KZ115576.1	NW_018395039.1	ALT_DRER_TU_1
region308	18	37251396	37548118	alt-scaffold	KZ115577.1	NW_018395040.1	ALT_DRER_TU_1
region309	18	37849957	38174437	alt-scaffold	KZ115578.1	NW_018395041.1	ALT_DRER_TU_1
region311	18	38345178	39052595	alt-scaffold	KZ115579.1	NW_018395042.1	ALT_DRER_TU_1
region311	18	38345178	39052595	alt-scaffold	KZ115580.1	NW_018395043.1	ALT_DRER_TU_1
region312	18	39358355	39713062	alt-scaffold	KZ115581.1	NW_018395044.1	ALT_DRER_TU_1
region313	18	40777442	41088276	alt-scaffold	KZ115582.1	NW_018395045.1	ALT_DRER_TU_1
region314	18	41199405	41464630	alt-scaffold	KZ115583.1	NW_018395046.1	ALT_DRER_TU_1
region315	18	41487367	41730610	alt-scaffold	KZ115584.1	NW_018395047.1	ALT_DRER_TU_1
region316	18	43342230	43534352	alt-scaffold	KZ115585.1	NW_018395048.1	ALT_DRER_TU_1
region317	18	46422493	46690777	alt-scaffold	KZ115586.1	NW_018395049.1	ALT_DRER_TU_1
region318	19	3445612	3725846	alt-scaffold	KZ115587.1	NW_018395050.1	ALT_DRER_TU_1
region319	19	30697734	30913231	alt-scaffold	KZ115588.1	NW_018395051.1	ALT_DRER_TU_1
region320	19	31029815	31717736	alt-scaffold	KZ115589.1	NW_018395052.1	ALT_DRER_TU_1
region321	19	31837868	32117212	alt-scaffold	KZ115590.1	NW_018395053.1	ALT_DRER_TU_1
region322	19	32252508	32475323	alt-scaffold	KZ115591.1	NW_018395054.1	ALT_DRER_TU_1
region324	19	32543602	33195431	alt-scaffold	KZ115592.1	NW_018395055.1	ALT_DRER_TU_1
region324	19	32543602	33195431	alt-scaffold	KZ115593.1	NW_018395056.1	ALT_DRER_TU_1
region325	19	39785068	40032350	alt-scaffold	KZ115594.1	NW_018395057.1	ALT_DRER_TU_1
region326	19	40345338	40553689	alt-scaffold	KZ115595.1	NW_018395058.1	ALT_DRER_TU_1
region327	19	40634856	40947428	alt-scaffold	KZ115596.1	NW_018395059.1	ALT_DRER_TU_1
region340	20	2901475	3118427	alt-scaffold	KZ115597.1	NW_018395060.1	ALT_DRER_TU_1
region341	20	6483282	6674321	alt-scaffold	KZ115598.1	NW_018395061.1	ALT_DRER_TU_1
region342	20	8586040	8962442	alt-scaffold	KZ115599.1	NW_018395062.1	ALT_DRER_TU_1
region343	20	9630579	10043236	alt-scaffold	KZ115600.1	NW_018395063.1	ALT_DRER_TU_1
region343	20	9630579	10043236	alt-scaffold	KZ114968.1	NW_018395343.1	ALT_DRER_TU_2
region344	20	11508299	11702669	alt-scaffold	KZ115601.1	NW_018395064.1	ALT_DRER_TU_1
region345	20	15045517	15286815	alt-scaffold	KZ115602.1	NW_018395065.1	ALT_DRER_TU_1
region346	20	17759221	18012828	alt-scaffold	KZ115603.1	NW_018395066.1	ALT_DRER_TU_1
region347	20	19922012	20199584	alt-scaffold	KZ115604.1	NW_018395067.1	ALT_DRER_TU_1
region349	20	20824472	21496606	alt-scaffold	KZ115606.1	NW_018395069.1	ALT_DRER_TU_1
region349	20	20824472	21496606	alt-scaffold	KZ115605.1	NW_018395068.1	ALT_DRER_TU_1
region351	20	22375600	22991132	alt-scaffold	KZ115607.1	NW_018395070.1	ALT_DRER_TU_1
region351	20	22375600	22991132	alt-scaffold	KZ115608.1	NW_018395071.1	ALT_DRER_TU_1
region352	20	24735383	24980031	alt-scaffold	KZ115609.1	NW_018395072.1	ALT_DRER_TU_1
region353	20	25124600	25416730	alt-scaffold	KZ115610.1	NW_018395073.1	ALT_DRER_TU_1
region354	20	25884620	26678864	alt-scaffold	KZ115611.1	NW_018395074.1	ALT_DRER_TU_1
region355	20	27573088	27969017	alt-scaffold	KZ115612.1	NW_018395075.1	ALT_DRER_TU_1
region356	20	42854116	43127852	alt-scaffold	KZ114969.1	NW_018395344.1	ALT_DRER_TU_2
region358	20	45853402	46547168	alt-scaffold	KZ115613.1	NW_018395076.1	ALT_DRER_TU_1
region358	20	45853402	46547168	alt-scaffold	KZ115614.1	NW_018395077.1	ALT_DRER_TU_1
region358	20	45853402	46547168	alt-scaffold	KZ114970.1	NW_018395345.1	ALT_DRER_TU_2
region359	21	6052420	6320675	alt-scaffold	KZ115615.1	NW_018395078.1	ALT_DRER_TU_1
